Selected,Cluster,Silhouette,Silhouette (Cluster),Selected (1),petal length,petal width,sepal width,sepal length
No,C1,0.724457,0.851134,No,1.4,0.2,3.5,5.1
No,C1,0.720286,0.828785,No,1.4,0.2,3.0,4.9
No,C1,0.721649,0.836035,No,1.3,0.2,3.2,4.7
No,C1,0.718712,0.820481,No,1.5,0.2,3.1,4.6
No,C1,0.723675,0.846906,No,1.4,0.2,3.6,5.0
No,C1,0.707994,0.765632,No,1.7,0.4,3.9,5.4
No,C1,0.720306,0.828891,No,1.4,0.3,3.4,4.6
No,C1,0.725103,0.854638,No,1.5,0.2,3.4,5.0
No,C1,0.710578,0.778593,No,1.4,0.2,2.9,4.4
No,C1,0.721906,0.837406,No,1.5,0.1,3.1,4.9
No,C1,0.716553,0.809195,No,1.5,0.2,3.7,5.4
No,C1,0.722765,0.842007,No,1.6,0.2,3.4,4.8
No,C1,0.719502,0.82464,No,1.4,0.1,3.0,4.8
No,C1,0.708474,0.768031,No,1.1,0.1,3.0,4.3
No,C1,0.698458,0.719166,No,1.2,0.2,4.0,5.8
No,C1,0.687638,0.668806,No,1.5,0.4,4.4,5.7
No,C1,0.711532,0.783419,No,1.3,0.4,3.9,5.4
No,C1,0.724248,0.850003,No,1.4,0.3,3.5,5.1
No,C1,0.70112,0.731934,No,1.7,0.3,3.8,5.7
No,C1,0.719147,0.82277,No,1.5,0.3,3.8,5.1
No,C1,0.714983,0.801063,No,1.7,0.2,3.4,5.4
No,C1,0.720313,0.828932,No,1.5,0.4,3.7,5.1
No,C1,0.714665,0.799426,No,1.0,0.2,3.6,4.6
No,C1,0.717313,0.813154,No,1.7,0.5,3.3,5.1
No,C1,0.714492,0.798533,No,1.9,0.2,3.4,4.8
No,C1,0.718314,0.818389,No,1.6,0.2,3.0,5.0
No,C1,0.722505,0.840615,No,1.6,0.4,3.4,5.0
No,C1,0.723017,0.843366,No,1.5,0.2,3.5,5.2
No,C1,0.723318,0.844983,No,1.4,0.2,3.4,5.2
No,C1,0.720677,0.83086,No,1.6,0.2,3.2,4.7
No,C1,0.720567,0.830278,No,1.6,0.2,3.1,4.8
No,C1,0.716887,0.81093,No,1.5,0.4,3.4,5.4
No,C1,0.709251,0.771917,No,1.5,0.1,4.1,5.2
