Selected,Cluster,Silhouette,Silhouette (Cluster),Selected (1),Selected (2),CustomerID,TotalSales,OrderCount,AvgOrderValue
No,C2,0.689286,0.676326,No,No,12346,1.725,-1.73145,1.73145
No,C2,0.689353,0.67663,No,No,12347,1.45745,1.06417,1.40103
No,C2,0.68942,0.676937,No,No,12348,0.967466,0.573388,0.92959
No,C2,0.689485,0.677238,No,No,12349,0.944096,-1.73064,1.68309
No,C2,0.689551,0.67754,No,No,12350,-0.732148,-1.72983,0.331622
No,C2,0.689683,0.678143,No,No,12352,1.19311,1.30916,0.169639
No,C2,0.689746,0.678436,No,No,12353,-1.63635,-1.72903,-1.57027
No,C2,0.689815,0.678749,No,No,12354,0.508917,-1.72822,1.61298
No,C2,0.68988,0.679049,No,No,12355,-0.386422,-1.72742,0.97069
No,C2,0.689946,0.67935,No,No,12356,1.26887,0.158357,1.55737
No,C2,0.69001,0.679647,No,No,12357,1.58075,-1.72661,1.72903
No,C2,0.690076,0.679948,No,No,12358,-0.331622,-1.72581,1.04564
No,C2,0.690141,0.680245,No,No,12359,1.58558,0.574194,1.67262
No,C2,0.690206,0.680546,No,No,12360,1.23341,0.159163,1.53723
No,C2,0.690269,0.680835,No,No,12361,-1.24308,-1.725,-0.776471
No,C2,0.690334,0.681136,No,No,12362,1.50419,1.38733,1.15121
No,C2,0.6904,0.681437,No,No,12363,-0.197039,-0.491188,-0.111615
No,C2,0.690464,0.681734,No,No,12364,0.425911,0.159968,0.330816
No,C2,0.690529,0.68203,No,No,12365,-0.0302207,-0.490382,0.228469
No,C2,0.690848,0.683502,No,No,12370,1.39056,0.575,1.53642
No,C2,0.690913,0.683798,No,No,12371,1.00776,-0.489576,1.56302
No,C2,0.690977,0.684094,No,No,12372,0.668483,0.160774,0.869954
No,C2,0.691039,0.684383,No,No,12373,-0.633024,-1.72419,0.529064
No,C2,0.691103,0.684677,No,No,12374,0.138209,-1.72339,1.44777
No,C2,0.691167,0.684971,No,No,12375,-0.39287,-0.48877,-0.43397
No,C2,0.691294,0.685557,No,No,12377,0.881237,-0.487964,1.5058
No,C2,0.691356,0.685844,No,No,12378,1.451,-1.72258,1.72178
No,C2,0.69142,0.686141,No,No,12379,0.273598,-0.487158,0.844166
No,C2,0.691482,0.686429,No,No,12380,1.24469,0.575806,1.40264
No,C2,0.691545,0.68672,No,No,12381,0.915084,0.576612,0.836913
